Title,Intervention,Health condition,,,,,,,,,,
Comparison of the efficacy and tolerability of clarithromycin suspension and cefuroxime axetil suspension in the treatment of acute otitis media in paediatric patients,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Studies on prophylactic efficacy of N-2-hydroxyethyl palmitamide (Impulsin) in acute respiratory infections. Serologically controlled field trials,Lipid compound,ARI,,,,,,,,,,
Levofloxacin versus zithromax in moderate to severe community-acquired pneumonia (abstract),Antibiotic vs antibiotic,CAP,,,,,,,,,,
Short-term treatment with zanamivir to prevent influenza: results of a placebo-controlled study,Antivirals,Influenza,,,,,,,,,,
Effects of antibiotic treatment in the subset of common-cold patients who have bacteria in nasopharyngeal secretions. [see comments.],Antibiotics,Common cold,,,,,,,,,,
Complications associated with use of megadose corticosteroids in head-injured adults,corticosteroid,QUERY - cannot tell,,,,,,,,,,
Co-trimoxazole versus cefaclor in acute on chronic bronchitis.,Antibiotic vs antibiotic,Bronchitis,,,,,,,,,,
Effect of topical nasal corticosteroids on patients with chronic fatigue syndrome and rhinitis,corticosteroid,Common cold,,,,,,,,,,
"Ciprofloxacin versus a tobramycin/cefuroxime combination in the treatment of serious systemic infections: a prospective, randomized and controlled study of efficacy and safety [published erratum appears in Scand J Infect Dis 1993;25(2):271]",Antibiotic vs antibiotic,LRTI,,Further investigation was required,,,,,,,,
[Oral levofloxacin versus intravenous ceftriaxone and amoxicillin/clavulanic acid in the treatment of community-acquired pneumonia that requires hospitalization]. [Spanish],Antibiotic vs antibiotic,CAP,,,,,,,,,,
Amoxicillin-clavulanate potassium compared with cefaclor for acute otitis media in infants and children [published erratum appears in Pediatr Infect Dis J 1987 Aug;6(8):734],Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Amoxicillin or myringotomy or both for acute otitis media: results of a randomized clinical trial,Myringotomy,OM,,,,,,,,,,
Amoxicillin or myringotomy or both for acute otitis media: results of a randomized clinical trial,Antibiotics,Otitis Media,,,,,,,,,,
Comparison of ceftizoxime with cefamandole in the treatment of pneumonia,Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
Protective effect of 2 acellular pertussis vaccines in a double-blind placebo controlled clinical trial. [Swedish],Vaccination,pertussis,,,,,,,,,,
Relieving symptoms of upper respiratory allergies and the common cold: azatadine maleate/pseudoephedrine sulfate syrup versus placebo,Nasal decongestant,Common cold,,,,,,,,,,
Relieving symptoms of upper respiratory allergies and the common cold: azatadine maleate/pseudoephedrine sulfate syrup versus placebo,Antihistamine,Common cold,,,,,,,,,,
Randomized comparative study of ceftibuten versus cefaclor in the treatment of acute lower respiratory tract infections,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
A combinatorial therapy for pneumonia in elderly people,antivirals,pneumonia,,,,,,,,,,
A combinatorial therapy for pneumonia in elderly people,Imidapril,pneumonia,,,,,,,,,,
Randomized secondary prevention trial of azithromycin in patients with coronary artery disease and serological evidence for Chlamydia pneumoniae infection: The Azithromycin in Coronary Artery Disease: Elimination of Myocardial Infection with Chlamydia (ACADEMIC) study,Antibiotics,pneumonia,,,,,,,,,,
Reactogenicity and immunogenicity of a new measles-mumps-rubella vaccine containing RIT 4385 mumps virus strain in healthy Turkish children,Vaccination,mumps,,,,,,,,,,
Reactogenicity and immunogenicity of a new measles-mumps-rubella vaccine containing RIT 4385 mumps virus strain in healthy Turkish children,Vaccination,rubella,,,,,,,,,,
Reactogenicity and immunogenicity of a new measles-mumps-rubella vaccine containing RIT 4385 mumps virus strain in healthy Turkish children,Vaccination,measles,,,,,,,,,,
"Acellular pertussis Diptheria-tetanus-pertussis vaccine containing separately purified pertussis toxoid, filamentous haemagglutinin and 69 kDa outer membrane protein as a booster in children",Vaccination,tetanus,,,,,,,,,,
"Acellular pertussis Diptheria-tetanus-pertussis vaccine containing separately purified pertussis toxoid, filamentous haemagglutinin and 69 kDa outer membrane protein as a booster in children",Vaccination,diptheria,,,,,,,,,,
"Acellular pertussis Diptheria-tetanus-pertussis vaccine containing separately purified pertussis toxoid, filamentous haemagglutinin and 69 kDa outer membrane protein as a booster in children",Vaccination,pertussis,,,,,,,,,,
Comparison of immunogenicity and tolerability of a virosome-adjuvanted and a split influenza vaccine in children,Vaccination,Influenza,,,,,,,,,,
Beneficial effects of dexamethasone in children with pneumococcal meningitis,corticosteroid,Meningitis,,,,,,,,,,
Effect of aluminum adjuvants on safety and immunogenicity of Haemophilus influenzae type b-CRM197 conjugate vaccine,Vaccination, HiB,,,,,,,,,,
Prevention of influenza A/USSR/77 (H1N1): An evaluation of the side effects and efficacy of amantadine in recruits at Fort Sam Houston,Antivirals,Influenza,,,,,,,,,,
"On an open, one-centre, comparative, randomized, clinical trial on efficacy and safety of topical application of stomatidin (hexetidine) in treating patients having catarrhal pharyngitis and tonsilopharyngitis",Antiseptic,Pharyngitis,,,,,,,,,,
Linezolid for the treatment of methicillin-resistant Staph aureus infections in children,Antibiotics,Staph aureus,,,,,,,,,,
Effect of Haemophilus influenzae infection and moxalactam on platelet function in children,Antibiotics, HIB,,,,,,,,,,
Linezolid versus vancomycin for treatment of resistant Gram-positive infections in children,Antibiotic vs antibiotic,HAP,,Further investigation was required,,,,,,,,
Lincomycin and penicillin G in the treatment of mild and moderately severe pneumococcal pneumonia. A comparative study,antibiotics,pneumococcal,,,,,,,,,,
Lincomycin and penicillin G in the treatment of mild and moderately severe pneumococcal pneumonia. A comparative study,Antibiotic vs antibiotic,Pneumonia,,,,,,,,,,
Prospective comparative trial of moxalactam versus ampicillin or chloramphenicol for treatment of Haemophilus influenzae type b meningitis in children,Antibiotic vs antibiotic,Meningitis,,,,,,,,,,
Follow-up of prospective randomized trial of ampicillin or chloramphenicol versus moxalactam treatment of Haemophilus influenzae type b meningitis,Antibiotic vs antibiotic,Meningitis,,,,,,,,,,
Comparison of amoxicillin with second and third generation cephalosporins in the treatment of acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Roxithromycin 150 mg b.i.d. versus amoxycillin 500 mg/clavulanic acid 125 mg t.i.d. for the treatment of lower respiratory tract infections in general practice,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
A clinical and economic comparison of roxithromycin 150 mg twice daily vs amoxicillin 500 mg/clavulanic acid 125 mg three times daily for the treatment of lower respiratory tract infections in general practice,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
Comparison of closed-tube thoracostomy and open thoracotomy procedures in the management of thoracic empyema in childhood,Thoracotomy,Empyema,,,,,,,,,,
Comparison of closed-tube thoracostomy and open thoracotomy procedures in the management of thoracic empyema in childhood,Thoracostomy,Empyema,,,,,,,,,,
Thymomodulin in the prevention of recurrent infectious episodes of chronic bronchitis in pediatric patients. Double blind trial,Thymomodulin,bronchitis,,,,,,,,,,
"Simultaneous administration of live virus vaccines. Measles, mumps, poliomyelitis, and smallpox",Vaccination,mumps,,,,,,,,,,
"Simultaneous administration of live virus vaccines. Measles, mumps, poliomyelitis, and smallpox",Vaccination,polio,,,,,,,,,,
"Simultaneous administration of live virus vaccines. Measles, mumps, poliomyelitis, and smallpox",Vaccination,smallpox,,,,,,,,,,
"Simultaneous administration of live virus vaccines. Measles, mumps, poliomyelitis, and smallpox",Vaccination,measles,,,,,,,,,,
Comparison of patient compliance with once-daily and twice-daily antibiotic regimens in respiratory tract infections: results of a randomized trial,Antibiotics,ARI,,,,,,,,,,
The Prophylaxis and treatment of Bacterial complications of Measles,QUERY - no further information - need abstract,measles,,,,,,,,,,
Sulphanilamide in the treatment of measles,Antibiotics,Measles,,,,,,,,,,
"The antigenicity of whole virus versus subunit trivalent influenza vaccines -- a field trial in the Israel Defence Forces, 1978",Vaccination,Influenza,,,,,,,,,,
Ascorbic acid for the common cold. A prophylactic and therapeutic trial,Vitamin C,Common cold,,,,,,,,,,
The efficacy of conjugate vaccine against pneumococcal acute otitis media in the first two years of life,Vaccination,pneumococcal,,,,,,,,,,
The efficacy of conjugate vaccine against pneumococcal acute otitis media in the first two years of life,Vaccination,Otitis Media,,,,,,,,,,
Efficacy of pneumococcal vaccination against recurrent otitis media. Preliminary results of a field trial in Finland,Vaccination,pneumococcal,,,,,,,,,,
Efficacy of pneumococcal vaccination against recurrent otitis media. Preliminary results of a field trial in Finland,Vaccination,Otitis Media,,,,,,,,,,
The comparative efficacy and safety of clarithromycin and amoxycillin in the treatment of outpatients with acute maxillary sinusitis,Antibiotic vs antibiotic,sinusitis,,,,,,,,,,
Prevention of otitis media in children by pneumococcal vaccination,Vaccination,pneumococcal,,,,,,,,,,
Prevention of otitis media in children by pneumococcal vaccination,Vaccination,Otitis Media,,,,,,,,,,
[The clinical and economic efficacies of short courses of azithromycin in acute sinusitis]. [Russian],Antibiotics,sinusitis,,,,,,,,,,
Blastogenic lymphocyte response as indicator of cell-mediated immunity in humans vaccinated with live and inactivated influenza vaccines,Vaccination,Influenza,,,,,,,,,,
A live human parainfluenza type 3 virus vaccine is attenuated and immunogenic in young infants,Vaccination,Influenza,,,,,,,,,,
Evaluation of a live attenuated bovine parainfluenza type 3 vaccine in two- to six-month-old infants,Vaccination,Influenza,,,,,,,,,,
Winter illness and vitamin C: the effect of relatively low doses,Vitamin C,ARI,,Further investigation was required,,,,,,,,
Safety and immunogenicity of a cold-adapted influenza A (H1N1) reassortant virus vaccine administered to infants less than six months of age,Vaccination,Influenza,,,,,,,,,,
"A live attenuated bovine parainfluenza virus type 3 vaccine is safe, infectious, immunogenic, and phenotypically stable in infants and children",Vaccination,Influenza,,,,,,,,,,
A live human parainfluenza type 3 virus vaccine is attenuated and immunogenic in healthy infants and children,Vaccination,Influenza,,,,,,,,,,
"Plasma retinol level, vitamin A supplementation and acute respiratory infections in children of 1-5 years old in a developing country. Respiratory Diseases Working Group",vitamin A,ARI,,,,,,,,,,
Antitussive effect of dextromethorphan and dextromethorphan-salbutamol combination in healthy volunteers with artificially induced cough,bronchodilator,Cough,,,,,,,,,,
Antitussive effect of dextromethorphan and dextromethorphan-salbutamol combination in healthy volunteers with artificially induced cough,Antitussive,Cough,,,,,,,,,,
"[Clinical Evaluation of Coughcode Tablet ""Mohan"" (MY-K88), a Compounding Drug Consisting of 6 Components: A Double-Blind Study in Patients with Cold Syndrome and Bronchitis]",QUERY - need more information,,,,,,,,,,,
Immune response to type III group B streptococcal polysaccharide-tetanus toxoid conjugate vaccine,Vaccination,tetanus,,,,,,,,,,
Immune response to type III group B streptococcal polysaccharide-tetanus toxoid conjugate vaccine,Vaccination,streptococcal,,,,,,,,,,
Prospective randomised comparative study of the clinical effect and tolerance of Apalcillin and Cefmenoxime in 50 patients,Antibiotic vs antibiotic,QUERY - need more information,,,,,,,,,,
Randomized evaluation of benzathine penicillin v twice daily versus potassium penicillin v three times daily in the treatment of group a streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
"Development of a live attenuated combination vaccine against measles, mumps and rubella",Vaccination,mumps,,,,,,,,,,
"Development of a live attenuated combination vaccine against measles, mumps and rubella",Vaccination,rubella,,,,,,,,,,
"Development of a live attenuated combination vaccine against measles, mumps and rubella",Vaccination,measles,,,,,,,,,,
